"lengths"	"start"	"cumul"
"654"	894	0.53000001	1556653
"655"	1482	0.533611121111111	1558135
"656"	3900	0.534166676666667	1562035
"657"	2449	0.534722232222222	1564484
"658"	6266	0.534722232222222	1570750
"659"	609	0.535555565555556	1571359
"660"	1092	0.53750001	1572451
"661"	2013	0.538888898888889	1574464
"662"	2165	0.539166676666667	1576629
"663"	1253	0.541944454444445	1577882
"664"	708	0.545555565555556	1578590
"665"	3218	0.545555565555556	1581808
"666"	1063	0.545833343333333	1582871
"667"	2277	0.550277787777778	1585148
"668"	2477	0.558055565555556	1587625
"669"	10264	0.559166676666667	1597889
"670"	563	0.560833343333333	1598452
"671"	1142	0.561944454444445	1599594
"672"	2194	0.56500001	1601788
"673"	2681	0.565833343333333	1604469
"674"	1664	0.566111121111111	1606133
"675"	2838	0.567777787777778	1608971
"676"	3563	0.570555565555556	1612534
"677"	843	0.571944454444445	1613377
"678"	1247	0.572222232222222	1614624
"679"	2608	0.57250001	1617232
"680"	6803	0.576388898888889	1624035
"681"	3169	0.584444454444444	1627204
"682"	1701	0.584722232222222	1628905
"683"	4530	0.58750001	1633435
"684"	570	0.591944454444445	1634005
"685"	2845	0.592777787777778	1636850
"686"	2391	0.597222232222222	1639241
"687"	2937	0.599444454444444	1642178
"688"	4420	0.60000001	1646598
"689"	4553	0.603611121111111	1651151
"690"	1569	0.604444454444445	1652720
"691"	714	0.60750001	1653434
"692"	1065	0.607777787777778	1654499
"693"	773	0.610555565555556	1655272
"694"	2840	0.611388898888889	1658112
"695"	2139	0.611944454444444	1660251
"696"	6063	0.613333343333333	1666314
"697"	3819	0.613611121111111	1670133
"698"	3211	0.615277787777778	1673344
"699"	3341	0.615277787777778	1676685
"700"	455	0.622222232222222	1677140
"701"	1774	0.623055565555556	1678914
"702"	9657	0.623055565555556	1688571
"703"	354	0.623333343333333	1688925
"704"	5929	0.623333343333333	1694854
"705"	914	0.625555565555556	1695768
"706"	1018	0.631388898888889	1696786
"707"	8673	0.635555565555556	1705459
"708"	1670	0.639166676666667	1707129
"709"	833	0.640555565555556	1707962
"710"	807	0.642777787777778	1708769
"711"	5226	0.643055565555556	1713995
"712"	451	0.65000001	1714446
"713"	4635	0.651111121111111	1719081
"714"	857	0.65250001	1719938
"715"	1154	0.654166676666667	1721092
"716"	3248	0.658611121111111	1724340
"717"	2473	0.658888898888889	1726813
"718"	2494	0.660277787777778	1729307
"719"	3938	0.662222232222222	1733245
"720"	3117	0.664166676666667	1736362
"721"	1990	0.670833343333333	1738352
"722"	2186	0.671944454444445	1740538
"723"	1843	0.67250001	1742381
"724"	1604	0.679444454444444	1743985
"725"	3257	0.682222232222222	1747242
"726"	3330	0.683888898888889	1750572
"727"	3058	0.685277787777778	1753630
"728"	583	0.686944454444445	1754213
"729"	1583	0.691666676666667	1755796
"730"	1689	0.695555565555556	1757485
"731"	2582	0.70000001	1760067
"732"	1405	0.700833343333333	1761472
"733"	583	0.701944454444445	1762055
"734"	2997	0.701944454444445	1765052
"735"	1833	0.703333343333333	1766885
"736"	1725	0.70500001	1768610
"737"	5285	0.708611121111111	1773895
"738"	2822	0.720555565555556	1776717
"739"	6960	0.720555565555556	1783677
"740"	1142	0.723055565555556	1784819
"741"	3101	0.735555565555556	1787920
"742"	937	0.738333343333333	1788857
"743"	1551	0.74000001	1790408
"744"	642	0.749722232222222	1791050
"745"	1158	0.760277787777778	1792208
"746"	6167	0.761388898888889	1798375
"747"	2380	0.774166676666667	1800755
"748"	3376	0.774444454444445	1804131
"749"	1003	0.780277787777778	1805134
"750"	4070	0.783333343333333	1809204
"751"	4984	0.786111121111111	1814188
"752"	4776	0.786666676666667	1818964
"753"	3157	0.786944454444444	1822121
"754"	1144	0.788611121111111	1823265
"755"	673	0.789722232222222	1823938
"756"	3628	0.798611121111111	1827566
